________________________________________________
             LEARNING IDENTITY TEST             
           aa_origine == aa_destination         
________________________________________________

____________________
  DATASET/DATALOAD  
____________________

DATASET with 9 amino-acids encoded from 0 to 8
N_NEIGHBOUR : 0
N_EXAMPLES (TOTAL): 45000
Example of one X_train, Y_train: (tensor([[1, 0, 0, 0, 0, 0, 0, 0, 0]]), tensor([0, 1, 0, 0, 0, 0, 0, 0, 0]))
N_EXAMPLES_TRAIN: 36000
N_EXAMPLES_TEST: 9000
(aa_origine == aa_destination) == True  # for all examples

____________________
  HYPER-PARAMETERS  
____________________

N_CLASSES : 9
INPUT_SIZE : 9
HIDDEN_SIZE : 100
N_EPOCHS : 100
BATCH_SIZE : 50
LEARNING_RATE : 0.001
TEST_SIZE : 0.2
RANDOM_STATE : 1234

____________________
        MODEL       
____________________

Feed Forward Neural Network with 1 HIDDEN LAYER + a final SOFTMAX LAYER
LOSS: MSELoss
OPTIMIZER: Adam

____________________
   TRAINING LOOP    
____________________

epoch 1 / 100, step 100/720,                    loss = 0.0988
epoch 1 / 100, step 200/720,                    loss = 0.0986
epoch 1 / 100, step 300/720,                    loss = 0.0990
epoch 1 / 100, step 400/720,                    loss = 0.0985
epoch 1 / 100, step 500/720,                    loss = 0.0990
epoch 1 / 100, step 600/720,                    loss = 0.0985
epoch 1 / 100, step 700/720,                    loss = 0.0988
epoch 2 / 100, step 100/720,                    loss = 0.0984
epoch 2 / 100, step 200/720,                    loss = 0.0985
epoch 2 / 100, step 300/720,                    loss = 0.0986
epoch 2 / 100, step 400/720,                    loss = 0.0990
epoch 2 / 100, step 500/720,                    loss = 0.0991
epoch 2 / 100, step 600/720,                    loss = 0.0988
epoch 2 / 100, step 700/720,                    loss = 0.0987
epoch 3 / 100, step 100/720,                    loss = 0.0991
epoch 3 / 100, step 200/720,                    loss = 0.0988
epoch 3 / 100, step 300/720,                    loss = 0.0987
epoch 3 / 100, step 400/720,                    loss = 0.0984
epoch 3 / 100, step 500/720,                    loss = 0.0987
epoch 3 / 100, step 600/720,                    loss = 0.0987
epoch 3 / 100, step 700/720,                    loss = 0.0987
epoch 4 / 100, step 100/720,                    loss = 0.0992
epoch 4 / 100, step 200/720,                    loss = 0.0989
epoch 4 / 100, step 300/720,                    loss = 0.0990
epoch 4 / 100, step 400/720,                    loss = 0.0995
epoch 4 / 100, step 500/720,                    loss = 0.0987
epoch 4 / 100, step 600/720,                    loss = 0.0986
epoch 4 / 100, step 700/720,                    loss = 0.0986
epoch 5 / 100, step 100/720,                    loss = 0.0988
epoch 5 / 100, step 200/720,                    loss = 0.0990
epoch 5 / 100, step 300/720,                    loss = 0.0988
epoch 5 / 100, step 400/720,                    loss = 0.0987
epoch 5 / 100, step 500/720,                    loss = 0.0987
epoch 5 / 100, step 600/720,                    loss = 0.0987
epoch 5 / 100, step 700/720,                    loss = 0.0989
epoch 6 / 100, step 100/720,                    loss = 0.0985
epoch 6 / 100, step 200/720,                    loss = 0.0987
epoch 6 / 100, step 300/720,                    loss = 0.0990
epoch 6 / 100, step 400/720,                    loss = 0.0988
epoch 6 / 100, step 500/720,                    loss = 0.0986
epoch 6 / 100, step 600/720,                    loss = 0.0992
epoch 6 / 100, step 700/720,                    loss = 0.0988
epoch 7 / 100, step 100/720,                    loss = 0.0988
epoch 7 / 100, step 200/720,                    loss = 0.0987
epoch 7 / 100, step 300/720,                    loss = 0.0987
epoch 7 / 100, step 400/720,                    loss = 0.0988
epoch 7 / 100, step 500/720,                    loss = 0.0989
epoch 7 / 100, step 600/720,                    loss = 0.0989
epoch 7 / 100, step 700/720,                    loss = 0.0986
epoch 8 / 100, step 100/720,                    loss = 0.0988
epoch 8 / 100, step 200/720,                    loss = 0.0986
epoch 8 / 100, step 300/720,                    loss = 0.0986
epoch 8 / 100, step 400/720,                    loss = 0.0983
epoch 8 / 100, step 500/720,                    loss = 0.0985
epoch 8 / 100, step 600/720,                    loss = 0.0989
epoch 8 / 100, step 700/720,                    loss = 0.0986
epoch 9 / 100, step 100/720,                    loss = 0.0989
epoch 9 / 100, step 200/720,                    loss = 0.0989
epoch 9 / 100, step 300/720,                    loss = 0.0986
epoch 9 / 100, step 400/720,                    loss = 0.0988
epoch 9 / 100, step 500/720,                    loss = 0.0991
epoch 9 / 100, step 600/720,                    loss = 0.0990
epoch 9 / 100, step 700/720,                    loss = 0.0989
epoch 10 / 100, step 100/720,                    loss = 0.0987
epoch 10 / 100, step 200/720,                    loss = 0.0989
epoch 10 / 100, step 300/720,                    loss = 0.0986
epoch 10 / 100, step 400/720,                    loss = 0.0986
epoch 10 / 100, step 500/720,                    loss = 0.0988
epoch 10 / 100, step 600/720,                    loss = 0.0989
epoch 10 / 100, step 700/720,                    loss = 0.0987
epoch 11 / 100, step 100/720,                    loss = 0.0990
epoch 11 / 100, step 200/720,                    loss = 0.0988
epoch 11 / 100, step 300/720,                    loss = 0.0987
epoch 11 / 100, step 400/720,                    loss = 0.0988
epoch 11 / 100, step 500/720,                    loss = 0.0990
epoch 11 / 100, step 600/720,                    loss = 0.0989
epoch 11 / 100, step 700/720,                    loss = 0.0988
epoch 12 / 100, step 100/720,                    loss = 0.0987
epoch 12 / 100, step 200/720,                    loss = 0.0987
epoch 12 / 100, step 300/720,                    loss = 0.0989
epoch 12 / 100, step 400/720,                    loss = 0.0984
epoch 12 / 100, step 500/720,                    loss = 0.0987
epoch 12 / 100, step 600/720,                    loss = 0.0989
epoch 12 / 100, step 700/720,                    loss = 0.0988
epoch 13 / 100, step 100/720,                    loss = 0.0986
epoch 13 / 100, step 200/720,                    loss = 0.0986
epoch 13 / 100, step 300/720,                    loss = 0.0988
epoch 13 / 100, step 400/720,                    loss = 0.0987
epoch 13 / 100, step 500/720,                    loss = 0.0987
epoch 13 / 100, step 600/720,                    loss = 0.0987
